,UniqueLocations
320,Trivendrum PG
321,Tubinakere 220 kV
322,Thingalore 230 kV SS
323,Vemagiri PS
324,400 KVSS Shankarpally
325,Sripermbadur PGCIL
326,Kadalangudi TNEB
327,Cuddalore TNEB
328,Arasur 400 kV SS
329,Thrissur
330,Hassan PG
331,230 kV Trichy SS
332,Kadakola 220 kV
333,220 KVSS Ramagundam
334,230 Kayathar SS
335,Neyveli TS2 Exp
336,Nizambad GIS
337,Pugalur 230 kV SS
338,Vengata Nagar
339,Pallom
340,Thiruvalam PG
341,Gopalapura 220 kV
342,Hootagalli KPTCL
343,Maniyachi TNEB
344,Arasur PG
345,Salem 400kV PG
346,Trichy400kv/Alandur TNEB
347,NRS KPTCL
348,Dichpally
349,400KVSS Chittoor
350,Trichur KSEB
351,Vallur NTPC
352,Ambewadi 220 kV
353,Kodasalli G S
354,220 KVSS Nirmal
