source,destination,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Kadapa 765kV,NRLDC,Kadappa PG,CK Palli AP,Muddunuru RTPP,Anathapur AP,Gooty Ap,Somayajulapali AP,Kurnool Ap,SSLM LBPH,Mamidipalli,Ghanapur TS,Ghanapur PG,Ramagundam NTPC,Bhadrwati,WR,NR,NRLDC,,,,,
Ghanapur PG,SRLDC,Ghanapur PG,Mamidipalli TS,SSLM LBPH,Kurnool AP(Nannur),Kurnool 765kV,Gooty PG,Pavudaga,Hiriyur,Nelemangala,Bidadi,SMNHL,SRLDC,,,,,,,,,
Ghanapur PG,NRLDC,Ghanapur PG,Ramagundam NTPC,Bhadrwati,WR,NR,NRLDC,,,,,,,,,,,,,,,
NP Kunta 400kV_Solar,NRLDC,Kadapa PG,CK Palli AP,Muddunuru RTPP,Anathapur,Gooty Ap,Gooty PG,Pavagada,Hiriyur,NLMGL,Bidadi,SMNHL,,,,,,,,,,
NP Kunta 400kV_Solar,NRLDC,Kadappa PG,CK Palli AP,Muddunuru RTPP,Anathapur AP,Gooty Ap,Somayajulapali AP,Kurnool Ap,SSLM LBPH,Mamidipalli,Ghanapur TS,Ghanapur PG,Ramagundam NTPC,Bhadrwati,WR,NR,NRLDC,,,,,
Ramagundam_NTPC_Solar,SRLDC,Repeater 346,Ghanapur PG,Mamidipalli TS,SSLM LBPH,Kurnool AP(Nannur),Kurnool 765kV,Gooty PG,Pavudaga,Hiriyur,Nelemangala,Bidadi,SMNHL,,,,,,,,,
Ramagundam_NTPC_Solar,NRLDC,Ramagundam NTPC,Bhadrwati,WR,NR,NRLDC,,,,,,,,,,,,,,,,
C'PETA,SRLDC,C'PETA,Satnepalli AP,SSLM RBPH AP,Kurnool AP(Nannur),Kurnool 765kV,Gooty PG,Pavudaga,Hiriyur,Nelemangala,Bidadi,SMNHL,,,,,,,,,,
C'PETA,NRLDC,Vijayawada PG,Khammam PG,Khammam TS,Warangal TS,Warangal PG,Ramagundam NTPC,Bhadrwati,WR,NR,NRLDC,,,,,,,,,,,
Vijayawada PG (DCPC),SRLDC,Vijayawad PG,Viajayawad AP,Satnepalli AP,SSLM RBPH AP,Kurnool AP(Nannur),Kurnool 765kV,Gooty PG,Pavudaga,Hiriyur,Nelemangala,Bidadi,SMNHL,SRLDC,,,,,,,,
Gazuwaka PG (DCPC),SRLDC,Gajuwaka PG,Vishakhapatnam VSS,Kakinada AP,Bommur Ap,Bhimidoulu AP,VTPS,Tallapalli AP,Nagarjuna Sagar,Mahubabnagar,Raichur RTPS,Munirabad PG,Devangiri,Hiriyur,Nelemangala,Bidadi,SMNHL,SRLDC,,,,
Ghanapur PG (DCPC,SRLDC,Ghanapur PG,Mamidipalli TS,SSLM LBPH,Kurnool AP(Nannur),Kurnool 765kV,Gooty PG,Pavudaga,Hiriyur,Nelemangala,Bidadi,SMNHL,SRLDC,,,,,,,,,
Gooty PG (DCPC),SRLDC,Gooty PG,Pavagada,Hiriyur,NLMGL,Bidadi,SMNHL,SRLDC,,,,,,,,,,,,,,
Nellore PG,SRLDC,Nellore PG,Alamaty,Sriparembadur,Chittore,Thiruvallem,Kolar,Somanhalli,SRLDC,,,,,,,,,,,,,
Nellore PS_765kV,SRLDC,Nellore PS _Kadapa PG,Chittore,Thiruvallem,Kolar,Somanhalli,SRLDC,,,,,,,,,,,,,,,
Kadapa PG,SRLDC,Kadapa PG,Chittore,Thiruvallem,Kolar,Somanhalli,SRLDC,,,,,,,,,,,,,,,
NP Kunta,SRLDC,NP Kunta,Kadapa PG,Chittore,Thiruvallem,Kolar,Somanhalli,SRLDC,,,,,,,,,,,,,,
Gooty PG,SRLDC,Gooty PG,Kurnool 765kV,Raichur 765kV,Raichur RTPS,Munirabad PG,Hiryur,Nellamangangala,Bidadi,SMNHL,SRLDC,,,,,,,,,,,
Kurnool 765kV,SRLDC,Kurnool 765kV,Raichur 765kV,Raichur RTPS,Munirabad PG,Hiryur,Nellamangangala,Bidadi,SMNHL,SRLDC,,,,,,,,,,,,
Raichur 765kV,SRLDC,Raichur 765kV,Raichur RTPS,Munirabad PG,Hiryur,Nellamangangala,Bidadi,SMNHL,SRLDC,,,,,,,,,,,,,
Munirabad PG,SRLDC,Munirabad PG,Hiryur,Nellamangangala,Bidadi,SMNHL,SRLDC,,,,,,,,,,,,,,,
Nagarjun sagar PG,SRLDC,Nagarjuna Sagar PG,MahabubNagar,Raichur RTPS,Munirabad PG,Hiryur,Nellamangangala,Bidadi,SMNHL,SRLDC,,,,,,,,,,,,
Gajuwaka PG,SRLDC,Gajuwaka PG,Kakinada,VTPS,Tallapalli,Nagarjuna Sagar PG,MahabubNagar,Raichur RTPS,Munirabad PG,Hiryur,Nellamangangala,Bidadi,SMNHL,SRLDC,,,,,,,,
Simhadri_NTPC,SRLDC,Simhadri NTPC,Vizag PG,Kakinada,VTPS,Tallapalli,Nagarjuna Sagar PG,MahabubNagar,Raichur RTPS,Munirabad PG,Hiryur,Nellamangangala,Bidadi,SMNHL,SRLDC,,,,,,,
Vijayawada PG,SRLDC,Vijayawada PG,Nunna AP,SSLM RBPH,Nannur AP,Kurnool 765kV,Gooty,Pavada,Hiryur,Nellamangangala,Bidadi,SMNHL,SRLDC,,,,,,,,,
Khammam PG,SRLDC,Khammam PG,Vijayawada PG,Nunna AP,SSLM RBPH,Nannur AP,Kurnool 765kV,Gooty,Pavada,Hiryur,Nellamangangala,Bidadi,SMNHL,SRLDC,,,,,,,,
Warangal PG,SRLDC,Warangal PG,Warangal TS,Khammam TS,Khammam PG,Vijayawada PG,Nunna AP,SSLM RBPH,Nannur AP,Kurnool 765kV,Gooty,Pavada,Hiryur,Nellamangangala,Bidadi,SMNHL,SRLDC,,,,,
Ghanapur PG,SRLDC,Ghanapur PG,Ghanapur TS,Mamaidpalli,SSLM LBPH,Nannur AP,Kurnool 765kV,Gooty,Pavada,Hiryur,Nellamangangala,Bidadi,SMNHL,SRLDC,,,,,,,,
Ramagundam NTPC,SRLDC,Ramagundam NTPC,Ghanapur PG,Ghanapur TS,Mamaidpalli,SSLM LBPH,Nannur AP,Kurnool 765kV,Gooty,Pavada,Hiryur,Nellamangangala,Bidadi,SMNHL,SRLDC,,,,,,,
Maheshwaram PS,SRLDC,Maheshwaram PS,Ghanapur PG,Ghanapur TS,Mamaidpalli,SSLM LBPH,Nannur AP,Kurnool 765kV,Gooty,Pavada,Hiryur,Nellamangangala,Bidadi,SMNHL,SRLDC,,,,,,,
Srikakulem PS,SRLDC,Srikakulem PS,Vemagriri PS,Vijayawada PG,Nunna AP,SSLM RBPH,Nannur AP,Kurnool 765kV,Gooty,Pavada,Hiryur,Nellamangangala,Bidadi,SMNHL,SRLDC,,,,,,,
Vemagiri PS,SRLDC,Vizag PG,Kakinada,VTPS,Tallapalli,Nagarjuna Sagar PG,MahabubNagar,Raichur RTPS,Munirabad PG,Hiryur,Nellamangangala,Bidadi,SMNHL,SRLDC,,,,,,,,
Nagapattanam (main),MADURAI PG-DCPC,"Nagapattanam, Trichy, Karaiudi, Madurai",,,,,,,,,,,,,,,,,,,,
Nagapattanam (stdby),MADURAI PG-DCPC,"Nagapattanam, Neyvelli TS1","exp, Neyvelli TS2_1, Neyvelli TS2","exp, Puguluru, Trichy, Karaiudi, Madurai",,,,,,,,,,,,,,,,,,
Tuticorin PG,MADURAI PG-DCPC,"Tuticorin, Madurai",,,,,,,,,,,,,,,,,,,,
Karaikudi PG,MADURAI PG-DCPC,"Karaikudi, Madurai",,,,,,,,,,,,,,,,,,,,
Tirunelveli,MADURAI PG-DCPC,"Tirunelveli, Madurai",,,,,,,,,,,,,,,,,,,,
Kundankulam,MADURAI PG-DCPC,"Kudankulam, Tirunelveli, Madurai",,,,,,,,,,,,,,,,,,,,
Trichy,MADURAI PG-DCPC,"Trichy, Karaikudi, Madurai",,,,,,,,,,,,,,,,,,,,
Kaiga (main),NARENDRA PG-DCPC,"Kaiga, Narendra",,,,,,,,,,,,,,,,,,,,
Kaiga (stdby),NARENDRA PG-DCPC,"Kaiga, Davangere,  Narendra",,,,,,,,,,,,,,,,,,,,
Karur (main),PONDY PG-DCPC,"Pugalur, Neyvelli, Pondy",,,,,,,,,,,,,,,,,,,,
Karur (stdby),PONDY PG-DCPC,"Pondy, Sriperambduru, Chottor, Kadapa, CK pally, Muddanuru, Ananthapura Gooty, Pavagada, Hiriyuru, Nelamangala, Mysore, Kozhikode, Trichuru, Palakkad, Udumalpet, Salem,Dharmapuri, Nagapattanam, Trichy, Pugalur",,,,,,,,,,,,,,,,,,,,
NLC TS2 Exp (main),PONDY PG-DCPC,Neyvelli,TS,"2exp, Neyvelli  TS","2_1, Neyvelli  TS","2_2, Pondy",,,,,,,,,,,,,,,,
NLC TS2 Exp (stdby),PONDY PG-DCPC,Neyvelli,"TS1exp, Nagapattanam, Dharmapuri, Salem, Udumalpet, Palakad, Truchur, Kozhikode, Mysuru, Nelamangala, Hiriyuru, Pavagada, Gooty, Ananthpur, Muddanuru, CK pally, Kadapa, Chittor, Sriperambadur, Pondy",,,,,,,,,,,,,,,,,,,
NLC TS1 Exp (main),PONDY PG-DCPC,Neyvelli,"TS1exp, Neyvelli","TS2_1, Neyvelli","TS2_2, Pondy",,,,,,,,,,,,,,,,,
NLC TS1 Exp (stdby),PONDY PG-DCPC,Neyvelli,"TS1exp, Nagapattanam, Dharmapuri, Salem, Udumalpet, Palakad, Truchur, Kozhikode, Mysuru, Nelamangala, Hiriyuru, Pavagada, Gooty, Ananthpur, Muddanuru, CK pally, Kadapa, Chittor, Sriperambadur, Pondy",,,,,,,,,,,,,,,,,,,
NLC TS2 (main),PONDY PG-DCPC,"Neyvelli TS2_1, Neyvelli","TS1exp, Neyvelli","TS2_1, Neyvelli","TS2_2, Pondy",,,,,,,,,,,,,,,,,
NLC TS2 (stdby),PONDY PG-DCPC,"Neyvelli TS2_1, Neyvelli","TS1exp, Nagapattanam, Dharmapuri, Salem, Udumalpet, Palakad, Truchur, Kozhikode, Mysuru, Nelamangala, Hiriyuru, Pavagada, Gooty, Ananthpur, Muddanuru, CK pally, Kadapa, Chittor, Sriperambadur, Pon",,,,,,,,,,,,,,,,,,,
Arasur (main),SALEM PG-DCPC,"Arasur, Udumalpet, Salem",,,,,,,,,,,,,,,,,,,,
Arasur (stdby),SALEM PG-DCPC,"Arasur, MTPS, Salem",,,,,,,,,,,,,,,,,,,,
Hosur (main),Hosur,"Hosur, Salem",,,,,,,,,,,,,,,,,,,,
Hosur (stdby),Hosur,"Hosur, Kolar, Thiruvalam, Chittore, Sriperembdur, Pondy, Neyvelli, Nagapattanam, Dharmapuri, Salem",,,,,,,,,,,,,,,,,,,,
Dharmapuri (main),SALEM PG-DCPC,"Dharmapuri, Salem",,,,,,,,,,,,,,,,,,,,
Udumalpet (main),SALEM PG-DCPC,"Udumalpet, Salem",,,,,,,,,,,,,,,,,,,,
Udumalpet (stdby),SALEM PG-DCPC,"Udumalpet, Arasur, MTPS, Salem",,,,,,,,,,,,,,,,,,,,
Hassan (main),SOMANAHALLI PG-DCPC,"Nelmangala, Bidadi",,,,,,,,,,,,,,,,,,,,
